id_parroquia,nom_parroquia,Canton_id_canton
70101,LA PROVIDENCIA,701
70102,MACHALA,701
70103,PUERTO BOLIVAR,701
70104,NUEVE DE MAYO,701
70105,EL CAMBIO,701
70150,MACHALA,701
70152,EL RETIRO,701
70250,ARENILLAS,702
70251,CHACRAS,702
70254,PALMALES,702
70255,CARCABON,702
70350,PACCHA,703
70351,AYAPAMBA,703
70352,CORDONCILLO,703
70353,MILAGRO,703
70354,SAN JOSE,703
70355,SAN JUAN DE CERRO AZUL,703
70450,BALSAS,704
70451,BELLAMARIA,704
70550,CHILLA,705
70650,EL GUABO,706
70651,BARBONES (SUCRE),706
70652,LA IBERIA,706
70653,TENDALES (CAB. EN PUERTO TENDALES),706
70654,RIO BONITO,706
70701,ECUADOR,707
70702,EL PARAISO,707
70703,HUALTACO,707
70704,MILTON REYES,707
70705,UNION LOJANA,707
70750,HUAQUILLAS,707
70850,MARCABELI,708
70851,EL INGENIO,708
70901,BOLIVAR,709
70902,LOMA DE FRANCO,709
70903,OCHOA LEON (MATRIZ),709
70904,TRES CERRITOS,709
70950,PASAJE,709
70951,BUENAVISTA,709
70952,CASACAY,709
70953,LA PEAÐA,709
70954,PROGRESO,709
70955,UZHCURRUMI,709
70956,CANAQUEMADA,709
71001,LA MATRIZ,710
71002,LA SUSAYA,710
71003,PINAS GRANDE,710
71050,PINAS,710
71051,CAPIRO (CAB. EN LA CAPILLA DE CAPIRO),710
71052,LA BOCANA,710
71053,MOROMORO (CAB. EN EL VADO),710
71054,PIEDRAS,710
71055,SAN ROQUE (AMBROSIO MALDONADO),710
71056,SARACAY,710
71150,PORTOVELO,711
71151,CURTINCAPA,711
71152,MORALES,711
71153,SALATI,711
71201,SANTA ROSA,712
71202,PUERTO JELI,712
71203,BALNEARIO JAMBELI (SATELITE),712
71204,JUMON (SATELITE),712
71205,NUEVO SANTA ROSA,712
71250,SANTA ROSA,712
71251,BELLAVISTA,712
71252,JAMBELI,712
71253,LA AVANZADA,712
71254,SAN ANTONIO,712
71255,TORATA,712
71256,VICTORIA,712
71257,BELLAMARIA,712
71350,ZARUMA,713
71351,ABANIN,713
71352,ARCAPAMBA,713
71353,GUANAZAN,713
71354,GUIZHAGUIÐA,713
71355,HUERTAS,713
71356,MALVAS,713
71357,MULUNCAY GRANDE,713
71358,SINSAO,713
71359,SALVIAS,713
71401,LA VICTORIA,714
71402,PLATANILLOS,714
71403,VALLE HERMOSO,714
71450,LAS LAJAS,714
71451,LA LIBERTAD,714
71452,EL PARAISO,714
71453,SAN ISIDRO,714
80101,BARTOLOME RUIZ CESAR FRANCO CARRI,801
80102,5 DE AGOSTO,801
80103,ESMERALDAS,801
80104,LUIS TELLO  (LAS PALMAS),801
80105,SIMON PLATA TORRES,801
80150,ESMERALDAS,801
80152,CAMARONES (CAB. EN SAN VICENTE),801
80153,CORONEL CARLOS CONCHA TORRES CAB.,801
80154,CHINCA,801
80159,MAJUA,801
80163,SAN MATEO,801
80165,TABIAZO,801
80166,TACHINA,801
80168,VUELTA LARGA,801
80250,VALDEZ (LIMONES),802
80251,ANCHAYACU,802
80252,ATAHUALPA (CAB. EN CAMARONES),802
80253,BORBON,802
80254,LA TOLA,802
80255,LUIS VARGAS TORRES CAB. EN PLAYA DE,802
80256,MALDONADO,802
80257,PAMPANAL DE BOLIVAR,802
80258,SAN FRANCISCO DE ONZOLE,802
80259,SANTO DOMINGO DE ONZOLE,802
80260,SELVA ALEGRE,802
80261,TELEMBI,802
80262,COLON ELOY DEL MARIA,802
80263,SAN JOSE DE CAYAPAS,802
80264,TIMBIRE,802
80265,SANTA LUCIA DE LAS PEÐAS,802
80350,MUISNE,803
80351,BOLIVAR,803
80352,DAULE,803
80353,GALERA,803
80354,QUINGUE (OLMEDO PERDOMO FRANCO),803
80355,SALIMA,803
80356,SAN FRANCISCO,803
80357,SAN GREGORIO,803
80358,SAN JOSE DE CHAMANGA,803
80450,ROSA ZARATE (QUININDE),804
80451,CUBE,804
80452,CHURA (CHANCAMA) CAB. EN EL YERBER,804
80453,MALIMPIA,804
80454,VICHE,804
80455,LA UNION,804
80550,SAN LORENZO,805
80551,ALTO TAMBO (CAB EN GUADUAL),805
80552,ANCON (PICHANGAL) CAB. EN PALMA RE,805
80553,CALDERON,805
80554,CARONDELET,805
80555,5 DE JUNIO (CAB. EN UIMBI),805
80556,CONCEPCION,805
80557,MATAJE (CAB. EN SANTANDER),805
80558,SAN JAVIER DE CACHAVI CAB. EN SAN JAV,805
80559,SANTA RITA,805
80560,TAMBILLO,805
80561,TULULBI (CAB. EN RICAURTE),805
80562,URBINA,805
80650,ATACAMES,806
80651,LA UNION,806
80652,SUA (CAB. EN LA BOCANA),806
80653,TONCHIGUE,806
80654,TONSUPA,806
80750,RIOVERDE,807
80751,CHONTADURO,807
80752,CHUMUNDE,807
80753,LAGARTO,807
80754,MONTALVO (CAB EN HORQUETA),807
80755,ROCAFUERTE,807
90101,AYACUCHO,901
90102,BOLIVAR  (SAGRARIO),901
90103,CARBO (CONCEPCION),901
90104,FEBRES CORDERO,901
90105,GARCIA MORENO,901
90106,LETAMENDI,901
90107,NUEVE DE OCTUBRE,901
90108,OLMEDO  (SAN ALEJO),901
90109,ROCA,901
90110,ROCAFUERTE,901
90111,SUCRE,901
90112,TARQUI,901
90113,URDANETA,901
90114,XIMENA,901
90115,PASCUALES,901
90150,GUAYAQUIL,901
90152,JUAN GOMEZ RENDON (PROGRESO),901
90153,MORRO,901
90156,POSORJA,901
90157,PUNA,901
90158,TENGUEL,901
90250,ALFREDO BAQUERIZO MORENO (JUJAN),902
90350,BALAO,903
90450,BALZAR,904
90550,COLIMES,905
90551,SAN JACINTO,905
90601,DAULE,906
90602,LA AURORA (SATELITE),906
90603,BANIFE,906
90604,EMILIANO CAICEDO MARCOS,906
90605,MAGRO,906
90606,PADRE JUAN BAUTISTA AGUIRRE,906
90607,SANTA CLARA,906
90608,VICENTE PIEDRAHITA,906
90650,DAULE,906
90652,JUAN BAUTISTA AGUIRRE (LOS TINTOS),906
90653,LAUREL,906
90654,LIMONAL,906
90656,LOS LOJAS ENRIQUE BAQUERIZO MOREN,906
90701,ELOY ALFARO (DURAN),907
90702,EL RECREO,907
90703,DIVINO NINO,907
90750,ELOY ALFARO (DURAN),907
90850,VELASCO IBARRA (CAB. EL EMPALME),908
90851,GUAYAS (PUEBLO NUEVO),908
90852,EL ROSARIO,908
90950,EL TRIUNFO,909
91001,CAMILO ANDRADE,910
91002,ELOY ALFARO,910
91003,CHIRIJOS,910
91004,CORONEL ENRIQUE VALDEZ,910
91005,ROSA MARIA,910
91006,JOSE MARIA VELASCO IBARRA,910
91007,VICENTE ROCAFUERTE,910
91008,ERNESTO SEMINARIO,910
91009,LAS PINAS,910
91050,MILAGRO,910
91051,CHOBO,910
91053,MARISCAL SUCRE (HUAQUES),910
91054,ROBERTO ASTUDILLO CAB. EN CRUCE DE,910
91150,NARANJAL,911
91151,JESUS MARIA,911
91152,SAN CARLOS,911
91153,SANTA ROSA DE FLANDES,911
91154,TAURA,911
91250,NARANJITO,912
91350,PALESTINA,913
91450,PEDRO CARBO,914
91451,VALLE DE LA VIRGEN,914
91452,SABANILLA,914
91601,SAMBORONDON,916
91602,LA PUNTILLA (SATELITE),916
91650,SAMBORONDON,916
91651,TARIFA,916
91850,SANTA LUCIA,918
91901,BOCANA,919
91902,CANDILEJOS,919
91903,CENTRAL,919
91904,PARAISO,919
91905,SAN MATEO,919
91950,EL SALITRE (LAS RAMAS),919
91951,GENERAL VERNAZA (DOS ESTEROS),919
91952,LA VICTORIA (NAUZA),919
91953,JUNQUILLAL,919
92050,SAN JACINTO DE YAGUACHI,920
92053,GENERAL PEDRO J. MONTERO (BOLICHE),920
92055,YAGUACHI VIEJO (CONE),920
92056,VIRGEN DE FATIMA,920
92150,GENERAL VILLAMIL (PLAYAS),921
92250,SIMON BOLIVAR,922
92251,CORONEL LORENZO DE GARAICOA PEDRE,922
92350,CORONEL MARCELINO MARIDUENA SAN,923
92450,LOMAS DE SARGENTILLO,924
92550,NARCISA DE JESUS,925
92750,GENERAL ANTONIO ELIZALDE (BUCAY),927
92850,ISIDRO AYORA,928
100101,CARANQUI,1001
100102,GUAYAQUIL DE ALPACHACA,1001
100103,SAGRARIO,1001
100104,SAN FRANCISCO,1001
100105,LA DOLOROSA DEL PRIORATO,1001
100150,IBARRA,1001
100151,AMBUQUI,1001
100152,ANGOCHAGUA,1001
100153,CAROLINA,1001
100154,LA ESPERANZA,1001
100155,LITA,1001
100156,SALINAS,1001
100157,SAN ANTONIO,1001
100201,ANDRADE MARIN  (LOURDES),1002
100202,ATUNTAQUI,1002
100250,ATUNTAQUI,1002
100251,IMBAYA (SAN LUIS DE COBUENDO),1002
100252,SAN FRANCISCO DE NATABUELA,1002
100253,SAN JOSE DE CHALTURA,1002
100254,SAN ROQUE,1002
100301,SAGRARIO,1003
100302,SAN FRANCISCO,1003
100350,COTACACHI,1003
100351,APUELA,1003
100352,GARCIA MORENO (LLURIMAGUA),1003
100353,IMANTAG,1003
100354,PEÐAHERRERA,1003
100355,PLAZA GUTIERREZ (CALVARIO),1003
100356,QUIROGA,1003
100357,6 DE JULIO DE CUELLAJE CAB. EN CUELLAJ,1003
100358,VACAS GALINDO (EL CHURO) CAB. EN SAN,1003
100401,JORDAN,1004
100402,SAN LUIS,1004
100450,OTAVALO,1004
100451,DOCTOR MIGUEL EGAS CABEZAS PEGUCH,1004
100452,EUGENIO ESPEJO (CALPAQUI),1004
100453,GONZALEZ SUAREZ,1004
100454,PATAQUI,1004
100455,SAN JOSE DE QUICHINCHE,1004
100456,SAN JUAN DE ILUMAN,1004
100457,SAN PABLO,1004
100458,SAN RAFAEL,1004
100459,SELVA ALEGRE CAB. EN SAN MIGUEL DE P,1004
100550,PIMAMPIRO,1005
100551,CHUGA,1005
100552,MARIANO ACOSTA,1005
100553,SAN FRANCISCO DE SIGSIPAMBA,1005
100650,URCUQUI,1006
100651,CAHUASQUI,1006
100652,LA MERCED DE BUENOS AIRES,1006
100653,PABLO ARENAS,1006
100654,SAN BLAS,1006
100655,TUMBABIRO,1006
110101,EL SAGRARIO,1101
110102,SAN SEBASTIAN,1101
110103,SUCRE,1101
110104,VALLE,1101
110105,CARIGAN,1101
110106,PUNZARA,1101
110150,LOJA,1101
110151,CHANTACO,1101
110152,CHUQUIRIBAMBA,1101
110153,EL CISNE,1101
110154,GUALEL,1101
110155,JIMBILLA,1101
110156,MALACATOS (VALLADOLID),1101
110157,SAN LUCAS,1101
110158,SAN PEDRO DE VILCABAMBA,1101
110159,SANTIAGO,1101
110160,TAQUIL (MIGUEL RIOFRIO),1101
110161,VILCABAMBA (VICTORIA),1101
110162,YANGANA (ARSENIO CASTILLO),1101
110163,QUINARA,1101
110201,CARIAMANGA,1102
110202,CHILE,1102
110203,SAN VICENTE,1102
110250,CARIAMANGA,1102
110251,COLAISACA,1102
110252,EL LUCERO,1102
110253,UTUANA,1102
110254,SANGUILLIN,1102
110301,CATAMAYO,1103
110302,SAN JOSE,1103
110350,CATAMAYO,1103
110351,EL TAMBO,1103
110352,GUAYQUICHUMA,1103
110353,SAN PEDRO DE LA BENDITA,1103
110354,ZAMBI,1103
110450,CELICA,1104
110451,CRUZPAMBA CAB EN CARLOS BUSTAMAN,1104
110455,POZUL (SAN JUAN DE POZUL),1104
110456,SABANILLA,1104
110457,TENIENTE MAXIMILIANO RODRIGUEZ LOA,1104
110550,CHAGUARPAMBA,1105
110551,BUENAVISTA,1105
110552,EL ROSARIO,1105
110553,SANTA RUFINA,1105
110554,AMARILLOS,1105
110650,AMALUZA,1106
110651,BELLAVISTA,1106
110652,JIMBURA,1106
110653,SANTA TERESITA,1106
110654,27 DE ABRIL (CAB. EN LA NARANJA),1106
110655,EL INGENIO,1106
110656,EL AIRO,1106
110750,GONZANAMA,1107
110751,CHANGAIMINA (LA LIBERTAD),1107
110753,NAMBACOLA,1107
110754,PURUNUMA (EGUIGUREN),1107
110756,SACAPALCA,1107
110801,GENERAL ELOY ALFARO (SAN SEBASTIAN),1108
110802,MACARA  MANUEL ENRIQUE RENGEL SU,1108
110850,MACARA,1108
110851,LARAMA,1108
110852,LA VICTORIA,1108
110853,SABIANGO (LA CAPILLA),1108
110901,CATACOCHA,1109
110902,LOURDES,1109
110950,CATACOCHA,1109
110951,CANGONAMA,1109
110952,GUACHANAMA,1109
110954,LAURO GUERRERO,1109
110956,ORIANGA,1109
110957,SAN ANTONIO,1109
110958,CASANGA,1109
110959,YAMANA,1109
111050,ALAMOR,1110
111051,CIANO,1110
111052,EL ARENAL,1110
111053,EL LIMO (MARIANA DE JESUS),1110
111054,MERCADILLO,1110
111055,VICENTINO,1110
111150,SARAGURO,1111
111151,EL PARAISO DE CELEN,1111
111152,EL TABLON,1111
111153,LLUZHAPA,1111
111154,MANU,1111
111155,SAN ANTONIO DE QUMBE (CUMBE),1111
111156,SAN PABLO DE TENTA,1111
111157,SAN SEBASTIAN DE YULUC,1111
111158,SELVA ALEGRE,1111
111159,URDANETA (PAQUISHAPA),1111
111160,SUMAYPAMBA,1111
111250,SOZORANGA,1112
111251,NUEVA FATIMA,1112
111252,TACAMOROS,1112
111350,ZAPOTILLO,1113
111351,MANGAHURCO,1113
111352,GARZAREAL,1113
111353,LIMONES,1113
111354,PALETILLAS,1113
111355,BOLASPAMBA,1113
111356,CAZADEROS,1113
111450,PINDAL,1114
111451,CHAQUINAL,1114
111452,12 DE DICIEMBRE (CAB. EN ACHIOTES),1114
111453,MILAGROS,1114
111550,QUILANGA,1115
111551,FUNDOCHAMBA,1115
111552,SAN ANTONIO DE LAS ARADAS CAB. EN L,1115
111650,OLMEDO,1116
111651,LA TINGUE,1116
120101,CLEMENTE BAQUERIZO,1201
120102,DOCTOR CAMILO PONCE,1201
120103,BARREIRO,1201
120104,EL SALTO,1201
120150,BABAHOYO,1201
120152,CARACOL,1201
120153,FEBRES CORDERO (LAS JUNTAS),1201
120154,PIMOCHA,1201
120155,LA UNION,1201
120250,BABA,1202
120251,GUARE,1202
120252,ISLA DE BEJUCAL,1202
120350,MONTALVO,1203
120351,LA ESMERALDA,1203
120450,PUEBLOVIEJO,1204
120451,PUERTO PECHICHE,1204
120452,SAN JUAN,1204
120501,QUEVEDO,1205
120502,SAN CAMILO,1205
120504,GUAYACAN,1205
120505,NICOLAS INFANTE DIAZ,1205
120506,SAN CRISTOBAL,1205
120507,SIETE DE OCTUBRE,1205
120508,24 DE MAYO,1205
120509,VENUS DEL RIO QUEVEDO,1205
120510,VIVA ALFARO,1205
120550,QUEVEDO,1205
120553,SAN CARLOS,1205
120555,LA ESPERANZA,1205
120650,CATARAMA,1206
120651,RICAURTE,1206
120701,10 DE NOVIEMBRE,1207
120702,VENTANAS,1207
120752,ZAPOTAL,1207
120753,CHACARITA,1207
120754,LOS ANGELES,1207
120801,BALZAR DE VINCES,1208
120802,VINCES CENTRAL,1208
120803,SAN LORENZO DE VINCES,1208
120850,VINCES,1208
120851,ANTONIO SOTOMAYOR CAB. EN PLAYAS,1208
120950,PALENQUE,1209
121001,SAN JACINTO DE BUENA FE,1210
121002,7 DE AGOSTO,1210
121003,11 DE OCTUBRE,1210
121050,SAN JACINTO DE BUENA FE,1210
121051,PATRICIA PILAR,1210
121101,VALENCIA,1211
121102,LA UNION,1211
121103,LA NUEVA UNION,1211
121150,VALENCIA,1211
121250,MOCACHE,1212
121350,QUINSALOMA,1213
130101,PORTOVIEJO,1301
130102,12 DE MARZO,1301
130103,COLON,1301
130104,PICOAZA,1301
130105,SAN PABLO,1301
130106,ANDRES DE VERA,1301
130107,FRANCISCO PACHECO,1301
130108,18 DE OCTUBRE,1301
130109,SIMON BOLIVAR,1301
130150,PORTOVIEJO,1301
130151,ABDON CALDERON (SAN FRANCISCO),1301
130152,ALHAJUELA (BAJO GRANDE),1301
130153,CRUCITA,1301
130154,PUEBLO NUEVO,1301
130155,RIOCHICO (RIO CHICO),1301
130156,SAN PLACIDO,1301
130157,CHIRIJOS,1301
130250,CALCETA,1302
130251,MEMBRILLO,1302
130252,QUIROGA,1302
130301,CHONE,1303
130302,SANTA RITA,1303
130350,CHONE,1303
130351,BOYACA,1303
130352,CANUTO,1303
130353,CONVENTO,1303
130354,CHIBUNGA,1303
130355,ELOY ALFARO,1303
130356,RICAURTE,1303
130357,SAN ANTONIO,1303
130401,EL CARMEN,1304
130402,4 DE DICIEMBRE,1304
130450,EL CARMEN,1304
130451,WILFRIDO LOOR MOREIRA (MAICITO),1304
130452,SAN PEDRO DE SUMA,1304
130550,FLAVIO ALFARO,1305
130551,SAN FRANCISCO DE NOVILLO CAB. EN NO,1305
130552,ZAPALLO,1305
130601,DOCTOR MIGUEL MORAN LUCIO,1306
130602,MANUEL INOCENCIO PARRALES Y GUALE,1306
130603,SAN LORENZO DE JIPIJAPA,1306
130650,JIPIJAPA,1306
130651,AMERICA,1306
130652,EL ANEGADO (CAB. EN ELOY ALFARO),1306
130653,JULCUY,1306
130654,LA UNION,1306
130656,MEMBRILLAL,1306
130657,PEDRO PABLO GOMEZ,1306
130658,PUERTO DE CAYO,1306
130750,JUNIN,1307
130801,LOS ESTEROS,1308
130802,MANTA,1308
130803,SAN MATEO,1308
130804,TARQUI,1308
130805,ELOY ALFARO,1308
130850,MANTA,1308
130851,SAN LORENZO,1308
130852,SANTA MARIANITA (BOCA DE PACOCHE),1308
130901,ANIBAL SAN ANDRES,1309
130902,MONTECRISTI,1309
130903,EL COLORADO,1309
130904,GENERAL ELOY ALFARO,1309
130905,LEONIDAS PROANO,1309
130950,MONTECRISTI,1309
130952,LA PILA,1309
131050,PAJAN,1310
131051,CAMPOZANO (LA PALMA DE PAJAN),1310
131052,CASCOL,1310
131053,GUALE,1310
131054,LASCANO,1310
131150,PICHINCHA,1311
131151,BARRAGANETE,1311
131152,SAN SEBASTIAN,1311
131250,ROCAFUERTE,1312
131301,SANTA ANA,1313
131302,LODANA,1313
131350,SANTA ANA DE VUELTA LARGA,1313
131351,AYACUCHO,1313
